review_id,review
83,quán rất rất xinh và nhiều cây xanh bài trí ấm cúng sang với giá khá mềm đồ ăn đậm đà hợp khẩu vị
84,thơm ngon tròn vịi quán này quá nổi ùi đi ăn đông share ra rẻ lắm
85,quán nằm hẻm rất nhỏ mọi người để ý nhen rất dễ đi lố nè không gian nhỏ nhắn dễ thương tạo cảm giác dễ chịu nhạc mở nhỏ có thể nói chuyện phục vụ tạm được có chào có cảm ơn mình order ly trà đá thái dặn ly ít đá nhưng lúc mang ra thì cả ly đá như nhau không có ly ít đá mình mới hỏi bạn phục vụ là ly nào ít đá thay vì đi bỏ bớt đá ra cho mình hoặc tìm các xử lý thì bạn lấp liếm bằng cách pick đại ly và bảo đây là ly ít đá món ăn không xứng đáng với mức giá nhóm mình order món thì món đều không ngon theo khẩu vị bọn mình riêng phần gỏi cá hồi rất tệ cá sống không tươi được cấp đông lúc ăn thấy bở và còn lạnh ngắt như vừa được rã đông không với khá ít cá nếu đi để trải nghiệm thì okay nè nhưng với tầm giá thì còn nhiều sự lựa chọn tốt hơn
86,quán dễ thương vui vẻ đồ ăn ngon nhân viên dễ thương nên ghé nhé
87,một quán thái trong hẻm nhỏ nhưng quy mô không nhỏ một phần ăn cũng khá nhiều menu đồ ăn và đồ uống đa dạng không gian khá ổn rộng và thoáng không bị ám mùi khi ăn
88,món ăn ngon không gian thoáng thoải mái nhân viên nhiệt tình
89,không gian thoải mái cảm giác khá riêng tư đồ ăn ngon
90,món lên nhanh và ngon các bạn nhân viên dễ thương hẻm rộng đậu xe thoải mái có góc check in
91,không gian núp hẻm dễ chịu dễ thương được bạn recommend đến giá đồ ăn cũng vừa phải là điểm đến thích hợp để tụ họp bạn bè hoặc người yêu
92,bày trí đẹp mắt thức ăn ngon đồ đóng gói đem về cũng chỉn chu
93,nhân viên quán dễ thương nhiệt tình giá hợp lý phần ăn nhiều
94,quán này tôi ăn lần rồi mới review ó ngon rẻ nha mọi người tôi còn giới thiệu bạn bè ăn nữa quán không đông nhưng luôn có khách á tôi hay ăn oẻ quận giữ xe không trong hẻm người nước ngoài ăn nhiều là biết ngon rồi á gỏi cá trê tôm sống sốt lẩu tomyum cơm ruốc gỏi ốc pad thái cơm cua thịt heo nướng ăn theo tôi là ngon nha
95,quan ngon ngồi kê vk đep aye hiêp e la đinh mênh của a quán ngon thanks aye
96,soup tomyum ngon đậm đà đáng thử gỏi bò trộn thính mềm dễ ăn các món còn lại tạm okay gà chiên và cá hơi khô nhẹ người kêu món ăn không hết
97,quán ngon yên tĩnh và phục vụ tận tâm
98,không gian quán nửa phù hợp cho cả cặp đôi lẫn gia đình cảm giác rất healing chữa lành luôn nha món ăn nêm nếm đậm đà và khá phù hợp với những bạn ưa khẩu vị thái nha nhân viên dễ thương và gần gũi nhiệt tình lắm nếu có dịp chắc chắn quay lại
99,quán nằm trong con hẻm nhỏ trên đường pasteur không gian quán ấm cúng trang trí dễ thương mình gọi các món như bên dưới thêm nước uống tổng bill tầm không cá nhân mình thấy món chả cá chiên và nọng heo nướng rất ngon must try nha mọi người tuy nhiên các món còn lại không đặc sắc lắm và hơi nhạt so với mình trà dâu hạt chia thì hậu rất chát và nhạt về phục vụ thì ổn ạ
100,trải nghiệm ăn tối của tụi mình ở ăn cơm uống nước rất tuyệt đồ ăn món nào cũng ngon và nhân viên rất nhiệt tình đáng iu không gian rộng rãi thoáng mát phù hợp đi ăn với gia đình bạn bè hoặc casual date highly recommend
101,nếu không gian bên pasteur như một quán hidden ẩn mình ấm cúng với lối decor thú vị thì chi nhánh này sáng sủa hơn dễ tìm hơn và cũng thích hợp để dẫn gia đình người lớn đến đợt này mình ghé lại thì cảm giác trà sữa hơi thiếu vị béo xôi xoài thì phần xoài chưa được ngon như mong đợi bù lại các món khác vẫn nêm nếm vừa miệng hợp khẩu vị vẫn rất yêu món mì mama và nọng heo tại quán nên tổng thể mình vẫn cho sao
102,quán nằm trong một con hẻm nhỏ tầng một là quán nước tầng hai là quán ăn quán có trang trí ổn có nhiều góc sống ảo mình có đặt bàn trước khi đến menu quán đa dạng nhưng giá đắt hơn với những chổ khác xíu dù ngày tết khá đông nhưng mình chờ khá lâu nhưng bàn đến sau lại có món nước mình phải hỏi nhân viên nhiều lần đến món nước cũng làm lâu đồ ăn thì bình thường không xuất sắc lắm
103,quán nằm trong con hẻm trên đường hai bà trưng trong hẻm có nhiều nhà hàng nên bạn nào đã từng đi nhiều lần sẽ phát hiện ngay ai lần đầu đi thì chú ý vì đường đông và bảng hiệu đầu hẻm hơi nhỏ phải chú ý quan sát không là chạy lố mất gửi xe đầu hẻm mình không nhớ có tiền hay free nữa quán nằm trên tầng không gian yên tĩnh cực kỳ và rộng rãi riêng tư bạn nào cần đi ăn trong sự yên tĩnh nhẹ nhàng hẹn hò lãng mạn thì ở đây cũng là lựa chọn hợp lý giá hơi cao so với món thái nói chung mình hay ăn khẩu phần cũng hơi nhiều so với bình thường tụi mình order nhìu món tưởng ít ai dè ăn ná thở không hết luôn nêm nếm nói chung là ổn áp nhen mình gọi cơm chiên cua hay ghẹ quên òi mà ngon lúm các bạn nhân viên dễ thương
104,biết quán từ hồi mới mở chi nhánh nhỏ xíu trong hẻm pasteur bên hbt này không gian rộng rãi thoáng đãng hơn đồ thái bên này hợp khẩu vị mình serving mỗi phần cũng khá nhiều hẹn hò hay gặp bạn bè mình hay ra đây
105,quán đồ ăn ngon tụi mình kêu món soup tom yum hải sản nước dừa vị thanh và hơi chua gỏi đu đủ ốc bươu lạ mà ngon cay nhẹ xôi xoài cực ngon nhân viên dễ thương
106,đồ ăn ngon nhân viên nhiệt tình recommend mì mama ở quán
107,quán nằm trong khuôn viên của đá bào concept trong con hẻm nhỏ trên đường hai bà trưng mình khá thích không gian ở đây từ cách decor đến sắp xếp vô cùng logic và gọn gàng quán luôn đông khách nhưng không mang cảm giác ồn ào xô bồ điểm cộng lớn nhất chính là các bạn nhân viên phục vụ vô cùng dễ thương thân thiện và rất chuyên nghiệp luôn nè điểm thứ đó là đồ ăn vô cùng hợp khẩu vị của mình luôn các bạn có dịp ghé quán trải nghiệm nhé
108,thức ăn chuẩn bị nhanh nhân viên phục vụ dễ thương nên thử mì mama còn lại pad thái gỏi đu đủ heo satay đậu hũ cũng ổn không gian rộng rãi bố trí các bàn xa nhau đi nhóm người rất phù hợp
109,quán có nhiều options để chọn món rất đa dạng và hấp dẫn không gian quán ấm cúng rộng rãi và có cả không gian ngoài trời món ra nhanh đậm vị ăn ngon và rất vừa miệng nhân viên chu đáo nhiệt tình thích hợp cho các cuộc gặp bạn bè họp mặt gia đình chắc chắn mình sẽ quay lại
110,đồ ăn trang trí bắt mắt nhưng không quá ngon ly nước mình gọi gần cả trăm mà nhạt nhẽo như sữa tươi không đường nhân viên phục vụ chậm chạp khách tới quán nhưng không mang chén lên liền còn làm rơi cái vung làm bắn nước tung téo lên áo khách tuy nhiên ai muốn trải nghiệm không gian và có hình đồ ăn sống ảo thì có thể ghé quán nhé
111,đồ ăn ngon đậm vị không gian quán chill nên thử nhé mọi người
112,đây là lần đầu tiên mình đến ăn cơm uống nước cái ấn tượng đầu tiên là các bạn staff rất là thân thiện và chu đáo món ăn ra không quá lâu và trình bày đẹp mắt nữa ê cái nhà vệ sinh siêu sạch và tinh tế nha tinh tế như nào thì để mọi người tới trải nghiệm nha không gián quán okay nhưng có vẻ hơi tối nên khó có ảnh đẹp nha còn lại tất cả okay nha
113,là một trong những quán thái yêu thích của mình nằm trong hẻm nhỏ đường hai bà trưng bên dưới là quán cà phê đá bào concept không gian cây xanh thoáng mát rộng rãi yên tĩnh đồ ăn ổn phục vụ okay
114,đồ ăn ngon cay recommend mì mama siu kay nha sao bạn nhân viên hôm mình đi quán có bưng thiếu li nước sau bạn mang nước đặt lên bàn khá mạnh như dằn mặt tụi mình vậy đi lần mì siu kay size lớn hình như ít hơn lần đầu đi ăn thì phải ở đây chủ yếu phục vụ món ăn lớn nhe ít món lai rai nè
